"Bartholomaeus A, Parrott W, Bondy G, and Walker K. 2013. The use of whole food animal studies in the safety assessment of genetically modified crops: limitations and recommendations. Crit Rev Toxicol,Vol. 43(S2), pp. 1-24. Retrieved from http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3833814/pdf/TXC-43-1.pdf "
"Batista R and Oliveira MM. 2009. Facts and fiction of genetically engineered food. Trends in Biotechnology,Vol. 27(5), pp. 277-286. Retrieved from http://www.sciencedirect.com/science/article/pii/S0167779909000511 "
Batty R. 2016. SmartStax Pro is on the horizon. Renk Seed. Retrieved from http://renkseed.com/smartstax-pro-is-on-the-horizon/ 
"Baumgarte S and Tebbe CC. 2005. Field studies on the environmental fate of the Cry1Ab Bt-toxin produced by transgenic maize (MON810) and its effect on bacterial communities in the maize rhizosphere. Molecular ecology,Vol. 14(8), pp. 2539-2551. Retrieved from https://www.ncbi.nlm.nih.gov/pubmed/15969733 "
"Baumhardt R, Stewart B, and Sainju U. 2015a. North American Soil Degradation: Processes, Practices, and Mitigating Strategies. Sustainability,Vol. 7(3), pp. 2936. Retrieved from http://www.mdpi.com/2071-1050/7/3/2936 "
"Baumhardt RL, Stewart BA, and Sainju UM. 2015b. North American Soil Degradation: Processes, Practices, and Mitigating Strategies. Sustainability,Vol. 7, pp. 2936-2960. Retrieved from http://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwixmZ2WlfzRAhVEQyYKHWS4AXMQFggaMAA&url=http%3A%2F%2Fwww.mdpi.com%2F2071-1050%2F7%2F3%2F2936%2Fpdf&usg=AFQjCNFOhA68rOu8jbq7fl8NXHyo841zTA&bvm=bv.146094739,d.eWE "
Bayer-CropScience. 2016. Crop Science - Integrated Weed Management (IWM) Program Retrieved from http://www.iwm.bayer.com/en/IWM-Program.aspx 
"Beckie H.J, Harker KN, Légère A, Morrison MJ, et al. 2011. GM Canola- the Canadian experience. Farm Policy Journal,Vol. 8(1), pp. 43-49. Retrieved from http://www.canolawatch.org/wp-content/uploads/2011/10/20110309_FPJ_Aut11_Beckie.et_.al_.pdf "
"Beckie HJ and Owen DK. 2007. Herbicide-resistant crops as weeds in North America. CAB Reviews: Perspectives in Agriculture, Veterinary Science, Nutrition and Natural Resources,Vol. 2(044), pp. 1-22. Retrieved from http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.541.1084&rep=rep1&type=pdf "
"Beckmann V, Soregaroli C, and Wesseler J. 2014. Chapter 25: Coexistence. In: Handbook on Agriculture, Biotechnology and Development (Northhampton, Massachusettes: Edward Elgar Publishing ). Retrieved from https://books.google.com/books?id=IOgyAwAAQBAJ&pg=PA372&lpg=PA372&dq=coexistence+preserving+the+choices+of+consumer+and+farmer&source=bl&ots=Yr8qpNTl98&sig=_Tt3uoTk9M2LQPUkY8_klWSaZqM&hl=en&sa=X&ved=0ahUKEwia36O_geLQAhUk6IMKHYA3CpcQ6AEIPjAG#v=onepage&q=coexistence%20preserving%20the%20choices%20of%20consumer%20and%20farmer&f=false "
Begemann S. 2018. Syngenta Settles with ADM over Viptera. AgPro. Retrieved from https://www.agprofessional.com/article/syngenta-settles-adm-over-viptera 
"Benbrook C. 2012. Impacts of genetically engineered crops on pesticide use in the U.S. -- the first sixteen years. Environ Sci Eur,Vol. 24(1), pp. 1-13. Retrieved from http://dx.doi.org/10.1186/2190-4715-24-24 "
"Benbrook CM. 2016. Trends in glyphosate herbicide use in the United States and globally. Environ Sci Eur,Vol. 28(1), pp. 3. Retrieved from https://doi.org/10.1186/s12302-016-0070-0 "
"Berhe AA and Kleber M. 2013. Erosion, deposition, and the persistence of soil organic matter: mechanistic considerations and problems with terminology. Earth Surface Processes and Landforms,Vol. 38(8), pp. 908-912. Retrieved from http://dx.doi.org/10.1002/esp.3408 "
BfR. 2019. New meta-analysis of glyphosate-based plant protection products does not alter the assessment of the active substance German Federal Institute for Risk Assessment. Retrieved from https://www.bfr.bund.de/cm/349/new-meta-analysis-of-glyphosate-based-plant-protection-products-does-not-alter-the-assessment-of-the-active-substance.pdf 
Bierman PM and Rosen CJ. 2005. Nutrient Cycling & Maintaining Soil Fertility. University of Minnesota Extension Service. Retrieved from https://conservancy.umn.edu/bitstream/handle/11299/197962/fruit-vegetable-nutrient-cycling-soil-fertility.pdf?sequence=1&isAllowed=y 
"Birkett MA and Pickett JA. 2014. Prospects of genetic engineering for robust insect resistance. Current Opinion in Plant Biology,Vol. 19, pp. 59-67. Retrieved from http://www.sciencedirect.com/science/article/pii/S1369526614000375 "
"Bohnenblust EW, Vaudo AD, Egan JF, Mortensen DA, et al. 2016. Effects of the herbicide dicamba on nontarget plants and pollinator visitation. Environ Toxicol Chem,Vol. 35(1), pp. 144-151. Retrieved from http://www.ncbi.nlm.nih.gov/pubmed/26184786 "
"Boisvert M and Boisvert J. 2000. Effects of Bacillus thuringiensis var. israelensis on Target and Nontarget Organisms: A Review of Laboratory and Field Experiments. Biocontrol Science and Technology,Vol. 10(5), pp. 517-561. Retrieved from http://dx.doi.org/10.1080/095831500750016361 "
"Boone M, Cowman D, Davidson C, Hayes T, et al. 2007. Evaluating the role of environmental contamination in amphibian population declines. In: Amphibian Conservation Action Plan (Gland Switzerland and Cambridge UK: IUCN/SSC Amphibian Specialist Group,), pp. 32-36. "
Bradley K. 2018. Dicamba injured crops and plants becoming more evident. University of Missouri. Retrieved from https://ipm.missouri.edu/IPCM/2018/6/dicambaInjuryUpdate/ 
"Brandeis TJ and Turner JA. 2009. U.S. Virgin Islands' Forests, 2009. U.S. Forest Service, Southern Research Station, Resource Bulletin SRS–196. Retrieved from http://www.srs.fs.usda.gov/pubs/45242 "
"Bravo A, Gill SS, and Soberón M. 2007. Mode of action of Bacillus thuringiensis Cry and Cyt toxins and their potential for insect control. Toxicon: official journal of the International Society on Toxinology,Vol. 49(4), pp. 423-435. Retrieved from http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1857359/ "
"Brevik E. 2013. The Potential Impact of Climate Change on Soil Properties and Processes and Corresponding Influence on Food Security. Agriculture,Vol. 3(3), pp. 398-417. Retrieved from http://www.mdpi.com/2077-0472/3/3/398 "
"Broeckling CD, Broz AK, Bergelson J, Manter DK, et al. 2008. Root exudates regulate soil fungal community composition and diversity. Appl Environ Microbiol,Vol. 74(3), pp. 738-744. Retrieved from http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2227741/pdf/2188-07.pdf "
"Brookes G and Barfoot P. 2010. Global impact of biotech crops: Environmental effects, 1996-2008. AgBioForum,Vol. 13(1), pp. 76-94. Retrieved from http://www.agbioforum.org/v13n1/v13n1a06-brookes.htm "
"Brookes G and Barfoot P. 2013a. The global income and production effects of genetically modified (GM) crops 1996–2011. GM Crops & Food,Vol. 4(1), pp. 74-83. Retrieved from http://dx.doi.org/10.4161/gmcr.24176 Last accessed 2015/05/18. "
"Brookes G and Barfoot P. 2013b. Key environmental impacts of global genetically modified (GM) crop use 1996–2011. GM Crops & Food,Vol. 4(2), pp. 109-119. Retrieved from http://dx.doi.org/10.4161/gmcr.24459 Last accessed 2015/08/17. "
"Brookes G and Barfoot P. 2015a. Global income and production impacts of using GM crop technology 1996–2013. GM Crops & Food,Vol. 6(1), pp. 13-46. Retrieved from http://dx.doi.org/10.1080/21645698.2015.1022310 Last accessed 2015/05/27. "
"Brookes G and Barfoot P. 2015b. Environmental impacts of genetically modified (GM) crop use 1996-2013: Impacts on pesticide use and carbon emissions. GM crops & food,Vol. 6(2), pp. 103-133. "
"Brookes G and Barfoot P. 2016. Environmental impacts of genetically modified (GM) crop use 1996–2014: Impacts on pesticide use and carbon emissions. GM Crops & Food,Vol. 7, pp. 84–116. Retrieved from http://www.tandfonline.com/doi/pdf/10.1080/21645698.2016.1192754?needAccess=true "
"Brookes G and Barfoot P. 2017a. Farm income and production impacts of using GM crop technology 1996-2015. GM crops & food,Vol. 8(3), pp. 156-193. Retrieved from http://www.ncbi.nlm.nih.gov/pubmed/28481684 "
"Brookes G and Barfoot P. 2017b. GM crops: global socio-economic and environmental impacts 1996-2015. PG Economics Ltd, UK. Retrieved from http://www.pgeconomics.co.uk/pdf/2017globalimpactstudy.pdf "
"Brower LP, Taylor OR, and Williams EH. 2012a. Response to Davis: choosing relevant evidence to assess monarch population trends. Insect Conserv. Divers,Vol. 5, pp. 327–329. "
"Brower LP, Taylor OR, Williams EH, Slayback DA, et al. 2012b. Decline of monarch butterflies overwintering in Mexico: is the migratory phenomenon at risk? Insect Conservation and Diversity,Vol. 5(2), pp. 95-100. Retrieved from http://dx.doi.org/10.1111/j.1752-4598.2011.00142.x "
"Brown J, Davis JB, Lauver M, and Wysocki D. 2008. Canola Growers’ Manual. U.S. Canola Association. Retrieved from https://www.uscanola.com/wp-content/uploads/2019/07/Canola_Grower_Manual_FINAL_reduce.pdf "
"Buchman A, Marshall JM, Ostrovski D, Yang T, et al. 2018. Synthetically engineered Medea gene drive system in the worldwide crop pest Drosophila suzukii. Proceedings of the National Academy of Sciences. Retrieved from http://www.pnas.org/content/pnas/early/2018/04/16/1713139115.full.pdf "
"Burger JC, Lee S, and Ellstrand NC. 2006. Origin and genetic structure of feral rye in the western United States. Molecular ecology,Vol. 15(9), pp. 2527-2539. Retrieved from https://www.ncbi.nlm.nih.gov/pubmed/16842424 "
"Camberato J, Casteel S, Goldsbrough P, Johnson WG, et al. 2011. Purdue University Extension. Glyphosate's Impact on Field Crop Production and Disease Development. Retrieved from https://big.assets.huffingtonpost.com/purdue.pdf "
Canola Council. 2018. Weed Management. Retrieved from https://www.canolacouncil.org/canola-encyclopedia/weeds/weed-management/ 
"Carpenter J and Gianessi L. 1999. Herbicide tolerant soybeans: Why growers are adopting Roundup Ready varieties. AgBioForum,Vol. 2(2), pp. 8. Retrieved from http://www.agbioforum.org/v2n2/v2n2a02-carpenter.htm "
"Carpenter JE. 2011. Impact of GM crops on biodiversity. GM Crops,Vol. 2(1), pp. 7-23. Retrieved from http://www.tandfonline.com/doi/abs/10.4161/gmcr.2.1.15086 Last accessed 2015/06/12. "
"Carpenter JE, Felsot A, Goode T, Hammig M, et al. 2002. Comparative Environmental Impacts of Biotechnology-Derived and Traditional Soybean, Corn, and Cotton Crops. Council for Agricultural Science and Technology (CAST). Retrieved from http://www.cast-science.org/download.cfm?PublicationID=2895&File=1e3021fbbaa8c8cc7c1c57542d6352e5a7d3TR "
"Carstens K, Anderson J, Bachman P, De Schrijver A, et al. 2012. Genetically modified crops and aquatic ecosystems: considerations for environmental risk assessment and non-target organism testing. Transgenic Res,Vol. 21(4), pp. 813-842. Retrieved from http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3394238/ "
"CAST. 2005. Crop Biotechnology and the Future of Food: A Scientific Assessment. CAST Commentary, QTA 2005-2, October 2005. Council for Agricultural Science andTechnology (CAST). Retrieved from http://www.cast-science.org/download.cfm?PublicationID=2922&File=1030246b70caa799d92cd626634e451d14e4TR "
CAST. 2007. Implications of Gene Flow in the Scale-up and Commercial Use of Biotechnology-derived Crops: Economic and Policy Considerations. Council for Agricultural Science and Technology (CAST) Issue Paper No. 37. Retrieved from http://www.cast-science.org/download.cfm?PublicationID=2935&File=f0302e5ababb28796e4fb142e23314824867 
"CAST. 2012. Herbicide-resistant Weeds Threaten Soil Conservation Gains: Finding a Balance for Soil and Farm Sustainability. CAST Issue Paper Number 49, February 2012. Council for Agricultural Science andTechnology (CAST). Retrieved from https://www.cast-science.org/wp-content/uploads/2018/12/CAST_Issue_Paper_49_web_optimized_FA63E1281F440.pdf "
CBD. 2020. The Cartagena Protocol on Biosafety. Convention on Biological Diversity Retrieved from https://bch.cbd.int/protocol 
"Chakroff M. 2010. U. S. Virgin Islands Forest Resources Assessment and Strategies: A comprehensive analysis of forest-related conditions, trends, threats, and strategies. U.S. Forest Service. Retrieved from http://geographicconsulting.com/wp-content/uploads/2011/05/USVI-Forest-Resources-Assessment-and-Strategies-2-sideds-printing-VIDOA.pdf "
"Chambers CP, Whiles MR, Rosi-Marshall EJ, Tank JL, et al. 2010. Responses of stream macroinvertebrates to Bt maize leaf detritus. Ecological applications: a publication of the Ecological Society of America,Vol. 20(7), pp. 1949-1960. "
"Chandler S and Dunwell JM. 2008. Gene Flow, Risk Assessment and the Environmental Release of Transgenic Plants. Critical Reviews in Plant Sciences,Vol. 27(1), pp. 25-49. Retrieved from http://dx.doi.org/10.1080/07352680802053916 "
"Chandler SF and Sanchez C. 2012. Genetic modification; the development of transgenic ornamental plant varieties. Plant biotechnology journal,Vol. 10(8), pp. 891-903. Retrieved from https://www.ncbi.nlm.nih.gov/pubmed/22537268 "
"Chaney W, Carthel MD, and Dowell-Lashmet T. 2015. Syngenta Corn Lawsuit: Answers to Producers’ Questions. Texas A&M AgriLife Extension. Retrieved from https://agrilife.org/texasaglaw/files/2016/08/Syngenta-Corn-Lawsuit.pdf "
"Chang ET and Delzell E. 2016. Systematic review and meta-analysis of glyphosate exposure and risk of lymphohematopoietic cancers. J Environ Sci Health B,Vol. 51(6), pp. 402-434. Retrieved from https://www.ncbi.nlm.nih.gov/pubmed/27015139 "
"Chapman M and Burke J. 2006. Letting the Gene out of the Bottle: the Population Genetics of Genetically Modified Crops. New Phytologist,Vol. 170(3), pp. 429-443. Retrieved from http://onlinelibrary.wiley.com/doi/10.1111/j.1469-8137.2006.01710.x/full "
"Chen C, Baucher M, Christensen JH, and Boerjan W. 2001. Biotechnology in trees: Towards improved paper pulping by lignin engineering. Euphytica,Vol. 118, pp. 10. Retrieved from https://link.springer.com/content/pdf/10.1023%2FA%3A1004176714883.pdf "
CLI. 2020a. Integrated Weed Management. CropLife-International (CLI). Retrieved from https://croplife.org/plant-biotechnology/stewardship-2/resistance-management/integrated-weed-management/ 
"CLI. 2020b Product Launch Stewardship. CropLife-International (CLI). retrieved from https://croplife.org/plant-biotechnology/stewardship-2/product-launch-stewardship/Coupe RH and Capel PD. 2015. Trends in pesticide use on soybean, corn and cotton since the introduction of major genetically modified crops in the United States. Pest Manag Sci,Vol. 72, pp. 1013–1022 Retrieved from http://onlinelibrary.wiley.com/doi/10.1002/ps.4082/epdf "
"Crowder DW and Reganold JP. 2015. Financial competitiveness of organic agriculture on a global scale. Proceedings of the National Academy of Sciences,Vol. 112(24), pp. 7611-7616. Retrieved from http://www.pnas.org/content/112/24/7611.abstract "
CSPI. 2009. Complacency on the Farm. Center for Science in the Public Interest. Retrieved from https://cspinet.org/sites/default/files/attachment/complacencyonthefarm.pdf 
CTIC. 2015. National Crop Residue Management Survey: 2008 Amendment to the National Crop Residue Management Survey Summary. Conservation Technology Information Center (CTIC). Retrieved from http://past.ctic.org/media/pdf/National%20Summary%202008%20(Amendment).pdf 
"Dale J, James A, Paul J-Y, Khanna H, et al. 2017. Transgenic Cavendish bananas with resistance to Fusarium wilt tropical race 4. Nature Communications,Vol. 8(1), pp. 1496. Retrieved from https://doi.org/10.1038/s41467-017-01670-6 "
"Davis AK. 2012. Are migratory monarchs really declining in eastern North America? Examining evidence from two fall census programs. Insect Conservation and Diversity,Vol. 5(2), pp. 101-105. Retrieved from http://dx.doi.org/10.1111/j.1752-4598.2011.00158.x "
"Deb R, Sajjanar B, Devi K, Reddy KM, et al. 2013. Feeding animals with GM crops: Boon or bane? Indian Journal of Biotechnology,Vol. 12(3), pp. 311-322. "
"DeFrancesco L. 2013. How safe does transgenic food need to be? Nat Biotech,Vol. 31(9), pp. 794-802. Retrieved from http://dx.doi.org/10.1038/nbt.2686 "
"Devos Y, Hails RS, Messean A, Perry JN, et al. 2012. Feral genetically modified herbicide tolerant oilseed rape from seed import spills: are concerns scientifically justified? Transgenic research,Vol. 21(1), pp. 1-21. Retrieved from http://www.ncbi.nlm.nih.gov/pubmed/21526422 "
"Dieter CA, Maupin MA, Caldwell RR, Harris MA, et al. 2018. Estimated use of water in the United States in 2015: U.S. Geological Survey Circular 1441. U.S. Geological Survey. Retrieved from https://pubs.usgs.gov/circ/1441/circ1441.pdf "
"Dill G, Sammons R, Feng P, Kohn F, et al. 2010. Glyphosate: Discovery, development, applications, and properties. In: Glyphosate Resistance in Crops and Weeds. (Hoboken, NJ: Wiley & Sons), pp. 1-33. "
"Dille JA, Sikkema PH, Everman WJ, Davis VM, et al. 2015a. Perspectives on soybean yield losses due to weeds in North America. Weed Science Society of America (WSSA). Retrieved from http://wssa.net/wp-content/uploads/WSSA-2015-Corn-Yield-Loss-poster-updated-calc.pdf "
"Dille JA, Sikkema PH, Everman WJ, Davis VM, et al. 2015b. Perspectives on corn yield losses due to weeds in North America. Weed Science Society of America (WSSA). Retrieved from http://wssa.net/wp-content/uploads/WSSA-2015-Corn-Yield-Loss-poster-updated-calc.pdf "
"Dorn KM, Fankhauser JD, Wyse DL, and Marks MD. 2015. A draft genome of field pennycress (Thlaspi arvense) provides tools for the domestication of a new winter biofuel crop. DNA Research,Vol. 22(2), pp. 121-131. Retrieved from http://dx.doi.org/10.1093/dnares/dsu045 "
Dow AgroSciences. 2018. 2018 Product Use Guide ENLIST™ Weed Control System. Dow AgroSciences. Retrieved from https://www.enlist.com/content/dam/hdas/enlist/pdfs/0901b803809b12da.pdf 
"Duan JJ, Marvier M, Huesing J, Dively G, et al. 2008. A meta-analysis of effects of Bt crops on honey bees (Hymenoptera: Apidae). PLoS One,Vol. 3(1), pp. e1415. Retrieved from http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2169303/pdf/pone.0001415.pdf "
"Dubelman S, Fischer J, Zapata F, Huizinga K, et al. 2014. Environmental Fate of Double-Stranded RNA in Agricultural Soils. PLoS ONE,Vol. 9(3), pp. e93155. Retrieved from https://doi.org/10.1371/journal.pone.0093155 "
"Duke SO. 2012. Why have no new herbicide modes of action appeared in recent years? Pest Manag Sci,Vol. 68(4), pp. 505-512. Retrieved from http://www.ncbi.nlm.nih.gov/pubmed/22190296 "
"Duke SO. 2015. Perspectives on transgenic, herbicide-resistant crops in the United States almost 20 years after introduction. Pest Management Science,Vol. 71(5), pp. 652-657. Retrieved from http://dx.doi.org/10.1002/ps.3863 "
"Duke SO, Lydon J, Koskinen WC, Moorman TB, et al. 2012. Glyphosate Effects on Plant Mineral Nutrition, Crop Rhizosphere Microbiota, and Plant Disease in Glyphosate-Resistant Crops. Journal of Agricultural and Food Chemistry,Vol. 60(42), pp. 10375-10397. Retrieved from http://dx.doi.org/10.1021/jf302436u "
DuPont-Pioneer. 2020. Reduced-Lignin Trait Could Revolutionize Alfalfa. DuPont-Pioneer. Retrieved from https://www.pioneer.com/us/products/forages/alfalfa/harvxtra-technology.html 
"Dyck VA, Hendrichs J, and Robinson AS. 2005. Sterile Insect Technique: Principles and Practice in Area-Wide Integrated Pest Management. Dordrecht: Springer. Retrieved from https://link.springer.com/book/10.1007%2F1-4020-4051-2 "
EFSA. 2015. Conclusion on the peer review of the pesticide risk assessment of the active substance glyphosate. European Food Safety Authority. Retrieved from https://www.efsa.europa.eu/en/efsajournal/pub/4302 
EFSA. 2020a. European Food Safety Authority: GMO publications. Retrieved from http://www.efsa.europa.eu/en/gmo/gmoscdocs 
EFSA. 2020b. European Food Safety Authority: Feed. Retrieved from https://www.efsa.europa.eu/sites/default/files/consultation/gmo101129%2C0.pdf 
"Ellstrand NC. 2003. Dangerous Liaisons? When Cultivated Plants Mate with Their Wild Relatives. Baltimore, MD: Johns Hopkins University Press. Retrieved from https://books.google.com/books/about/Dangerous_Liaisons.html?id=vmWFQ2cMH34C "
"Ellstrand NC. 2012. Over a Decade of Crop Transgenes Out-of-Place. In: Regulation of Agricultural Biotechnology: The United States and Canada (Springer Netherlands), pp. 123-135. Retrieved from http://dx.doi.org/10.1007/978-94-007-2156-2_7 "
"Ellstrand NC. 2014. Is gene flow the most important evolutionary force in plants? American Journal of Botany,Vol. 101(5), pp. 737-753. Retrieved from http://www.amjbot.org/content/101/5/737.abstract "
"Ellstrand NC. 2018. “Born to Run”? Not Necessarily: Species and Trait Bias in Persistent Free-Living Transgenic Plants. Frontiers in Bioengineering and Biotechnology,Vol. 6(88). Retrieved from https://www.frontiersin.org/article/10.3389/fbioe.2018.00088 "
"Ellstrand NC, Garner LC, Hegde S, Guadagnuolo R, et al. 2007. Spontaneous Hybridization between Maize and Teosinte. Journal of Heredity,Vol. 98(2), pp. 183-187. Retrieved from http://jhered.oxfordjournals.org/content/98/2/183.abstract "
"Ellstrand NC, Heredia SM, Leak-Garcia JA, Heraty JM, et al. 2010. Crops gone wild: evolution of weeds and invasives from domesticated ancestors. Evolutionary Applications,Vol. 3(5-6), pp. 494-504. Retrieved from http://onlinelibrary.wiley.com/doi/10.1111/j.1752-4571.2010.00140.x/full "
"Emerson C, James S, Littler K, and Randazzo F. 2017. Principles for gene drive research. Science,Vol. 358(6367), pp. 1135. Retrieved from http://science.sciencemag.org/content/358/6367/1135.abstract "
"Esvelt KM, Smidler AL, Catteruccia F, and Church GM. 2014. Concerning RNA-guided gene drives for the alteration of wild populations. eLife,Vol. 3, pp. e03401. Retrieved from https://doi.org/10.7554/eLife.03401 "
"ETIPCC. 2017. National Strategy for Modernizing the Regulatory System for Biotechnology Products, Product of the Emerging Technologies Interagency Policy Coordination Committee’s Biotechnology Working Group, September 2016. Retrieved from https://www.aphis.usda.gov/biotechnology/downloads/biotech_national_strategy_final.pdf "
"Evans JA, Tranel PJ, Hager AG, Schutte B, et al. 2015. Managing the evolution of herbicide resistance. Pest Manag Sci,Vol. 72(1), pp. 74-80. Retrieved from https://www.ncbi.nlm.nih.gov/pubmed/25809409 "
EVIRA. 2017. EVIRA Removes Genetically Modified Orange Petunias from Sale. Retrieved from https://www.hortipoint.nl/floribusiness/evira-removes-genetically-modified-orange-petunias-from-sale/ 
"Fagan J, Antoniou M, and Robinson C. 2014. GMO Myths and Truths. Earth Open Source. Retrieved from http://earthopensource.org/wp-content/uploads/2014/11/GMO-Myths-and-Truths-edition2.pdf "
"FAO. 2009. Codex Alimentarius, Foods Derived from Modern Biotechnology, 2nd Edition. Food and Agriculture Organization. Retrieved from http://www.fao.org/3/a1554e/a1554e00.htm "
