citation,agency,organization,journal,university,book
"Eary, L.E. and D. Rai. “Kinetics of Chromate Reduction by Ferrous Ions Derived from Hematite and Biotite at 25C.” American Journal of Science. Vol. 289. pp. 180–213. 1989. ",,,American Journal of Science,,
"Tanji, K.K., C.G. Ong, R.A. Dalgren, and M.J. Herbel. “Salt Deposits in Evaporation Ponds: An Environmental Hazard?” California Agriculture. Vol. 46, No 6. pp. 18–21. 1992. ",,,California Agriculture,,
"Larsen, D. G.H. Swihart, and Y. Xiao. “Hydrochemistry and Isotope Composition of Springs in the Tecopa Basin, Southeastern California, USA.” Chemical Geology. Vol 179. p.17–35. 2001. ",,,Chemical Geology,,
"Reynolds, R.L., J.C. Yount, M. Reheis, H. Goldstein, P. Chavez, Jr., R. Fulton, J. Whitney, C. Fuller, and R.M. Forester. “Dust Emission From Wet and Dry Playas in the Mojave Desert, USA.” Earth Surface Processes and Landforms. Vol. 32, No. 12. pp. 1,811–1,827. 2007. ",,,Earth Surface Processes and Landforms,,
"Hardie, L.A. “The Origin of the Recent Non-Marine Evaporite Deposit of Saline Valley, Inyo County, California.” Geochimica et Cosmochimica Acta. Vol. 32, No. 12. pp. 1,279–1,301. 1968. ",,,Geochimica et Cosmochimica Acta,,
"Reheis, M.C., R. Hershler, and D.M. Miller. “Late Cenozoic Drainage History of the Southwestern Great Basin and Lower Colorado River Region: Geologic and Biotic Perspectives.” Geological Society America Special Papers 439. 2008. ",,,Geological Society America Special Papers,,
"Quade, J., M.D. Mifflin, W.L. Pratt, W. McCoy, and L. Burckle. “Fossil Spring Deposits in the Southern Great Basin and Their Implications for Changes in the Water-Table Levels Near Yucca Mountain, Nevada, During Quaternary Time.” Geological Society of America Bulletin, Vol. 107, No. 2. pp. 213–230. 1995. ",,,Geological Society of America Bulletin,,
"Johannesson, K.H., K.L. Stetzenbach, V.E. Hodge, D.K. Kreamer, and X. Zhou. “Delineation of Ground-Water Flow Systems in the Southern Great Basin Using Aqueous Rare Earth Element Distributions.” Groundwater. Vol. 35, No 4. pp. 807–819. 1997. ",,,Groundwater,,
"Bredehoeft, J. and M. King. “Potential Contaminant Transport in the Regional Carbonate Aquifer Beneath Yucca Mountain, Nevada, USA.” Hydrogeology Journal. Vol. 18, Issue 3. pp. 775–789. 2010. ",,,Hydrogeology Journal,,
"Olszewska-Wasiolek, M.A. and B.W. Arnold. “Radioactive Disequilibrium in the Saturated Zone Transport Model and the Biosphere Model for the Yucca Mountain Repository–The Case of Radon-222.” IHLRWMC 2011 Proceedings Paper. Albuquerque, New Mexico, April 10–14, 2011. International High Level Radioactive Waste Management Conference. La Grange Park, Illinois. American Nuclear Society. 2011. ",,,International High Level Radioactive Waste Management Conference,,
"Bushman, M., S.T. Nelson, D. Tingey, and D. Eggert. “Regional Groundwater Flow in Structurally-Complex Extended Terranes: An Evaluation of the Sources of Discharge at Ash Meadows, Nevada. Journal of Hydrology. Vol. 386. pp. 118–129. 2010. ",,,Journal of Hydrology,,
"Douglas, S. “Microbial Biosignatures in Evaporite Deposits: Evidence From Death Valley, California.” Planetary and Space Science. Vol. 52. pp. 223–227. 2004. ",,,Planetary and Space Science,,
